Sample_ID,d13C_VPDB,Total_C_µg,C_Comment,d15N_air,Total_N_µg,N_Comment,Tray_Name,Well_Id,Type_of_Material,Analysis,Sample_Weight_mg_from_Sample_List,Internal_ID,Analysis_Number,Mass_Spec
UWT-KIL-PHYTO-1,-31.74,1015.11,,3.3,172.35,,UWT-SRP4-2020-1,A1,dried phytoplankton,"13C, 15N",2.7,1726187,558533,H
UWT-KIL-PHYTO-2,-34.75,1124.44,,4.41,254.71,Contains more nitrogen than largest usable reference,UWT-SRP4-2020-1,A2,dried phytoplankton,"13C, 15N",2.5,1726188,558534,H
UWT-KIL-PHYTO-3,-38.92,978.23,,7.65,126.63,,UWT-SRP4-2020-1,A3,dried phytoplankton,"13C, 15N",2.9,1726189,558535,H
UWT-ANG-PHYTO-1,-30.62,1060.47,,4.82,139.56,,UWT-SRP4-2020-1,A4,dried phytoplankton,"13C, 15N",2.7,1726190,558536,H
UWT-ANG-PHYTO-2,-29.26,846.45,,5.5,113.18,,UWT-SRP4-2020-1,A5,dried phytoplankton,"13C, 15N",2.2,1726191,558537,H
UWT-ANG-PHYTO-3,-29.56,1217.18,,7.05,221.61,Contains more nitrogen than largest usable reference,UWT-SRP4-2020-1,A6,dried phytoplankton,"13C, 15N",2.9,1726192,558538,H
UWT-KIL-PERI-1,-25.8,898.7,,3.91,67.54,,UWT-SRP4-2020-1,A7,dried periphyton,"13C, 15N",2.7,1726193,558539,H
UWT-KIL-PERI-2,-22.46,847.57,,3.07,56.83,,UWT-SRP4-2020-1,A8,dried periphyton,"13C, 15N",2.5,1726194,558540,H
UWT-KIL-PERI-3,-25.47,849.48,,4.62,72.29,,UWT-SRP4-2020-1,A9,dried periphyton,"13C, 15N",2.7,1726195,558541,H
UWT-ANG-PERI-1,-15.37,1099.76,,2.62,108.34,,UWT-SRP4-2020-1,A10,dried periphyton,"13C, 15N",3.5,1726196,558542,H
UWT-ANG-PERI-2,-16.46,812.16,,2.94,82.3,,UWT-SRP4-2020-1,A11,dried periphyton,"13C, 15N",2.9,1726197,558543,H
UWT-ANG-PERI-3,-17.73,640.56,,3.16,71.35,,UWT-SRP4-2020-1,A12,dried periphyton,"13C, 15N",2.2,1726198,558544,H
UWT-KIL-MACRO-1,-30.76,1000.66,,1.34,83.45,,UWT-SRP4-2020-1,B1,dried plants,"13C, 15N",2.9,1726199,558551,H
UWT-KIL-MACRO-2,-34.68,981.09,,1.03,87.16,,UWT-SRP4-2020-1,B2,dried plants,"13C, 15N",3,1726200,558552,H
UWT-KIL-MACRO-3,-32.65,811.6,,2.83,65.01,,UWT-SRP4-2020-1,B3,dried plants,"13C, 15N",2.2,1726201,558553,H
UWT-ANG-MACRO-1,-17.26,786.35,,2.32,74.86,,UWT-SRP4-2020-1,B4,dried plants,"13C, 15N",2.2,1726202,558554,H
UWT-ANG-MACRO-2,-15.36,1010.91,,3,99.19,,UWT-SRP4-2020-1,B5,dried plants,"13C, 15N",2.9,1726203,558555,H
UWT-ANG-MACRO-3,-16.61,692.84,,-0.14,61.12,,UWT-SRP4-2020-1,B6,dried plants,"13C, 15N",2.1,1726204,558556,H
UWT-KIL-ZOO-1,-32.58,523.14,,5.26,119.27,,UWT-SRP4-2020-1,B7,dried zooplankton,"13C, 15N",1.1,1726205,558557,H
UWT-KIL-ZOO-2,-34.76,490.01,,6.22,113.5,,UWT-SRP4-2020-1,B8,dried zooplankton,"13C, 15N",1,1726206,558558,H
UWT-KIL-ZOO-3,-35.34,530.7,,5.53,122.17,,UWT-SRP4-2020-1,B9,dried zooplankton,"13C, 15N",1.1,1726207,558559,H
UWT-ANG-ZOO-1,-29.76,468.38,,7.79,104.41,,UWT-SRP4-2020-1,B10,dried zooplankton,"13C, 15N",1,1726208,558560,H
UWT-ANG-ZOO-2,-31.68,480.05,,7.67,101.47,,UWT-SRP4-2020-1,B11,dried zooplankton,"13C, 15N",0.9,1726209,558561,H
UWT-ANG-ZOO-3,-29.78,489.5,,9.32,101.76,,UWT-SRP4-2020-1,B12,dried zooplankton,"13C, 15N",1.2,1726210,558562,H
UWT-KIL-INSECT-1,-44.19,448.78,,3.92,94.64,,UWT-SRP4-2020-1,C1,dried insects,"13C, 15N",1,1726211,558568,H
UWT-KIL-INSECT-2,-42.25,527.29,,4.86,106.52,,UWT-SRP4-2020-1,C2,dried insects,"13C, 15N",1.1,1726212,558569,H
UWT-KIL-INSECT-3,-40.12,569.64,,5.09,116.31,,UWT-SRP4-2020-1,C3,dried insects,"13C, 15N",1.2,1726213,558570,H
UWT-ANG-INSECT-1,-31.12,592.3,,8.2,124.42,,UWT-SRP4-2020-1,C4,dried insects,"13C, 15N",1.2,1726214,558571,H
UWT-ANG-INSECT-2,-30.31,266.52,,8.57,56.19,,UWT-SRP4-2020-1,C5,dried insects,"13C, 15N",1,1726215,558572,H
UWT-ANG-INSECT-3,-30.9,360.68,,7.56,80.32,,UWT-SRP4-2020-1,C6,dried insects,"13C, 15N",0.9,1726216,558573,H
UWT-KIL-SNAIL-1,-27.41,533,,5.27,127.09,,UWT-SRP4-2020-1,C7,dried snail,"13C, 15N",1.2,1726217,558574,H
UWT-KIL-SNAIL-2,-28.89,351.63,,5.28,77.29,,UWT-SRP4-2020-1,C8,dried snail,"13C, 15N",0.9,1726218,558575,H
UWT-KIL-SNAIL-3,-28.76,435.66,,4.36,84.6,,UWT-SRP4-2020-1,C9,dried snail,"13C, 15N",1.1,1726219,558576,H
UWT-ANG-SNAIL-1,-20.58,331.98,,5.69,71.23,,UWT-SRP4-2020-1,C10,dried snail,"13C, 15N",0.9,1726220,558577,H
UWT-ANG-SNAIL-2,-17,475.14,,4.75,107.91,,UWT-SRP4-2020-1,C11,dried snail,"13C, 15N",1.3,1726221,558578,H
UWT-ANG-SNAIL-3,-19.43,288.94,,5.13,60.74,,UWT-SRP4-2020-1,C12,dried snail,"13C, 15N",0.9,1726222,558579,H
UWT-KIL-FISH-1,-29.65,430.6,,9.31,132.14,,UWT-SRP4-2020-1,D1,dried fish fillet,"13C, 15N",0.9,1726223,558583,H
UWT-KIL-FISH-2,-32.71,535.79,,9.26,162.48,,UWT-SRP4-2020-1,D2,dried fish fillet,"13C, 15N",1,1726224,558584,H
UWT-KIL-FISH-3,-29.17,603.41,,8.69,183.46,,UWT-SRP4-2020-1,D3,dried fish fillet,"13C, 15N",1.2,1726225,558585,H
UWT-ANG-FISH-1,-20.71,428.17,,10.61,131.12,,UWT-SRP4-2020-1,D4,dried fish fillet,"13C, 15N",0.8,1726226,558586,H
UWT-ANG-FISH-2,-21.86,415.74,,10.08,126.91,,UWT-SRP4-2020-1,D5,dried fish fillet,"13C, 15N",0.9,1726227,558587,H
UWT-ANG-FISH-3,-20.67,558.24,,9.64,170.87,,UWT-SRP4-2020-1,D6,dried fish fillet,"13C, 15N",1.1,1726228,558588,H
