Lake_Year,Lake,Year,Item #,Identity,Group,Length,Sex,Weight,Well_ID,d13C,C ug,d15N,N ug,collectiondate,old_Lake_Year,Identity_old
Angle_2019,Angle,2019,UWT-ANG-FISH-1,Lepomis gibbosus,Fish,135,F,"NA","NA",-20.710064183827622,428.17074585054155,10.606584229949373,131.12243530268657,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-FISH-10,Lepomis gibbosus,Fish,117,M,"NA","NA",-21.43853552721008,480.8716736448383,10.801060321841167,143.13018108355755,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-FISH-2,Lepomis gibbosus,Fish,128,F,"NA","NA",-21.860663547052688,415.7360952128656,10.081158740212325,126.91491818846677,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-FISH-3,Lepomis gibbosus,Fish,115,F,"NA","NA",-20.671156512252217,558.2429080492502,9.64330416543145,170.87329714579116,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-FISH-4,Lepomis gibbosus,Fish,130,M,"NA","NA",-21.778380319863523,435.68061254846305,10.465253124250575,130.2875797439196,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-FISH-5,Lepomis gibbosus,Fish,129,M,"NA","NA",-22.43297193869412,496.9008265907336,10.376582289121002,145.31250811441691,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-FISH-6,Lepomis gibbosus,Fish,117,M,"NA","NA",-19.688313964819194,459.1986116923031,9.595597340929777,135.8383902569517,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-FISH-7,Lepomis gibbosus,Fish,107,M,"NA","NA",-19.203990984181956,275.8211381784495,10.19388212040265,79.9471627247927,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-FISH-8,Lepomis gibbosus,Fish,110,F,"NA","NA",-21.507874541904542,525.3247638601705,10.327843612461402,157.2833149836472,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-FISH-9,Lepomis gibbosus,Fish,107,F,"NA","NA",-21.022001446348433,454.8575999009794,10.117975245118922,135.80476553272212,43617,Angle_2019,NA
Angle_2019,Angle,2020,UWT-ANG-INSECT-1,Chironomidae,Aquatic invertebrate,NA,NA,"NA","NA",-31.12104535715546,592.3035668449955,8.203249119485468,124.42334008788838,44055,Angle_2020,NA
Angle_2019,Angle,2020,UWT-ANG-INSECT-2,Chironomidae,Aquatic invertebrate,NA,NA,"NA","NA",-30.30607231860425,266.5237582326379,8.57299298263376,56.19277848116695,44055,Angle_2020,NA
Angle_2019,Angle,2020,UWT-ANG-INSECT-3,Chironomidae,Aquatic invertebrate,NA,NA,"NA","NA",-30.896844845475485,360.6809727880005,7.561062409806853,80.32383179507197,44055,Angle_2020,NA
Angle_2019,Angle,2020,UWT-ANG-MACRO-1,Macrophyte,Aquatic plant,NA,NA,"NA","NA",-17.26242886098659,786.349622410492,2.316537614098169,74.86169264002302,44076,Angle_2020,NA
Angle_2019,Angle,2020,UWT-ANG-MACRO-2,Macrophyte,Aquatic plant,NA,NA,"NA","NA",-15.362768693581716,1010.91211407312,2.997644730423972,99.1860768210047,44076,Angle_2020,NA
Angle_2019,Angle,2020,UWT-ANG-MACRO-3,Macrophyte,Aquatic plant,NA,NA,"NA","NA",-16.605278985685775,692.8406419911342,-0.13544800467472246,61.12183521788368,44076,Angle_2020,NA
Angle_2019,Angle,2019,UWT-ANG-PERI-1,Periphyton,Algae,NA,NA,"NA","NA",-15.365447150712189,1099.7635835749943,2.6181707656138817,108.34334031120213,8/28/2019,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-PERI-2,Periphyton,Algae,NA,NA,"NA","NA",-16.460779317707317,812.1640762440425,2.9392641204531893,82.30094316596087,8/28/2019,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-PERI-3,Periphyton,Algae,NA,NA,"NA","NA",-17.731375232019886,640.557150311695,3.1630564586745242,71.35185141043489,8/28/2019,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-PHYTO-1,Phytoplankton,Phytoplankton,NA,NA,"NA","NA",-30.623607926822206,1060.4742724665825,4.817173741180047,139.5609707300097,43605,Angle_2019,NA
Angle_2019,Angle,2018,UWT-ANG-PHYTO-2,Phytoplankton,Phytoplankton,NA,NA,"NA","NA",-29.25552038141971,846.4466927112697,5.498280857505849,113.18088893073437,43164,Angle_2018,NA
Angle_2019,Angle,2019,UWT-ANG-PHYTO-3,Phytoplankton,Phytoplankton,NA,NA,"NA","NA",-29.562136383050166,1217.1833732012783,7.045367021731603,221.6133195471018,43661,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-SNAIL-1,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-20.583561167750368,331.98177867941456,5.692882890741793,71.2313327513955,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-SNAIL-10,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-19.777854631793353,423.3855516795179,5.763695165551015,81.64483448014343,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-SNAIL-2,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-17.001729966821586,475.142573412888,4.749063029547466,107.91161704019386,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-SNAIL-3,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-19.434345857097156,288.9423033798163,5.128536994357556,60.743372359476815,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-SNAIL-4,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-14.93851852599211,455.879206348328,5.35398083041564,107.21833863883234,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-SNAIL-5,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-20.035475373618734,519.7487977422488,6.113185605153432,106.27197171030264,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-SNAIL-6,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-21.1090482576552,468.894336580114,6.161532502098198,109.71868945804255,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-SNAIL-7,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-16.03750493842072,515.944954410721,5.628847628513898,108.50244063764535,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-SNAIL-8,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-15.548546497901683,560.4721409530424,5.784598806587647,116.30215776078808,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-SNAIL-9,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-17.77137586721749,483.9271042465856,5.124278048605805,107.25213453089985,43617,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-ZOO-1,Zooplankton,Zooplankton,NA,NA,"NA","NA",-29.760348961815275,468.3790340236176,7.794584849689985,104.40543299510048,43605,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-ZOO-2,Zooplankton,Zooplankton,NA,NA,"NA","NA",-31.683371936683223,480.0461505532451,7.668093528086622,101.46558759034853,43628,Angle_2019,NA
Angle_2019,Angle,2019,UWT-ANG-ZOO-3,Zooplankton,Zooplankton,NA,NA,"NA","NA",-29.784375607896614,489.4962111919734,9.322210810592143,101.7631271154699,43661,Angle_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-FISH-1,Lepomis macrochirus,Fish,127,?,"NA","NA",-29.64654784334551,430.60264411375886,9.312480708930346,132.14443288584417,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-FISH-10,Lepomis macrochirus,Fish,140,M,"NA","NA",-31.02409695356517,381.2491142598734,9.626863738273112,116.06596094596094,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-FISH-2,Lepomis macrochirus,Fish,166,M,"NA","NA",-32.70837652447567,535.7868300439812,9.263830200621362,162.4849688256485,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-FISH-3,Lepomis macrochirus,Fish,152,?,"NA","NA",-29.171561668065838,603.4123181785138,8.689754202575328,183.46091518324965,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-FISH-4,Lepomis macrochirus,Fish,185,M,"NA","NA",-29.65730260251515,359.5901551743053,10.082400929751309,107.65766949149848,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-FISH-5,Lepomis macrochirus,Fish,157,M,"NA","NA",-30.49287970133742,425.4359094646313,10.074269137553316,132.13846050774833,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-FISH-6,Lepomis macrochirus,Fish,180,M,"NA","NA",-32.77412249134361,429.7913512774047,10.216345371269911,132.60949630008457,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-FISH-7,Lepomis macrochirus,Fish,185,M,"NA","NA",-32.86540057481273,439.0075982668775,9.489555040980804,134.25781001953743,43617,Killarney_2019,NA
