Lake_Year,Lake,Year,Item #,Identity,Group,Length,Sex,Weight,Well_ID,d13C,C ug,d15N,N ug,Identity_old
Angle_2009,Angle,2009,AGL1 A,Chironomidae_1,Aquatic invertebrate,NA,NA,0.76400000000000001,B2,-28.357900954879288,318.21352192321035,4.459738899471835,65.16272102896181,Chironomidae_1
Angle_2009,Angle,2009,AGL1 B,Chironomidae_1,Aquatic invertebrate,NA,NA,0.91800000000000004,B3,-28.93356415507361,398.39277610629944,4.9329292224313575,83.59540711826273,Chironomidae_1
Angle_2009,Angle,2009,AGL2 A,Chironomidae_2,Aquatic invertebrate,NA,NA,0.64800000000000002,B4,-26.379642546578456,294.47014252305286,4.755452277259785,74.20200019321773,Chironomidae_2
Angle_2009,Angle,2009,AGL2 B,Chironomidae_2,Aquatic invertebrate,NA,NA,0.99299999999999999,B5,-26.15007278434182,443.5249682182367,4.535406089764398,108.83106382201935,Chironomidae_2
Angle_2009,Angle,2009,AGL4 A,Isopoda,Aquatic invertebrate,NA,NA,0.79800000000000004,B6,-28.962887473504967,280.250425459535,2.1686720001558104,62.38750400975928,Isopoda
Angle_2009,Angle,2009,AGL4 B,Isopoda,Aquatic invertebrate,NA,NA,1.1419999999999999,B7,-29.169805278565722,423.3355780541757,2.2371902188473993,92.27154189871986,Isopoda
Angle_2009,Angle,2009,AGL7 A,Odonata_damsel,Aquatic invertebrate,NA,NA,0.53100000000000003,B10,-27.706973159957755,239.596600840754,5.470332856440899,61.235503241486356,Odonata_damsel
Angle_2009,Angle,2009,AGL7 B,Odonata_damsel,Aquatic invertebrate,NA,NA,0.85499999999999998,B11,-17.550288231619625,399.3510183687322,8.313168872042155,107.51237177563657,Odonata_damsel
Angle_2009,Angle,2009,AGL8,Odonata_dragon,Aquatic invertebrate,NA,NA,0.94199999999999995,B12,-27.48150228695592,428.1390676354086,4.516670504718467,111.46528111088168,Odonata_dragon
Angle_2009,Angle,2009,AGL5 A,Trichoptera,Aquatic invertebrate,NA,NA,1.044,B8,-27.22149788808682,498.51970289312084,4.404678880206639,74.87467318283518,Trichoptera
Angle_2009,Angle,2009,AGL5 B,Trichoptera,Aquatic invertebrate,NA,NA,0.91700000000000004,B9,-27.294593309926295,438.7144624832501,4.3493688554093985,65.77132123305492,Trichoptera
Angle_2009,Angle,2009,AGL14 A,Macrophyte 2,Aquatic plant,NA,NA,2.1339999999999999,A6,-17.391409809581628,881.0847514583837,2.0243513208425012,64.79320471509845,Macrophyte 2
Angle_2009,Angle,2009,AGL14 B,Macrophyte 2,Aquatic plant,NA,NA,2.2589999999999999,A7,-18.425616401579425,810.63886345341,1.8165543343851451,63.569793445748694,Macrophyte 2
