lake,species,percent_inorganic,d15n_air
Angle Lake,zooplankton,0.11335869825596362,8.26162972945625
Angle Lake,zooplankton,0.08950901257869563,8.26162972945625
Angle Lake,zooplankton,0.7242652069946219,8.26162972945625
Lake Killarney,zooplankton,0.637024548141372,5.6701793201976
Lake Killarney,zooplankton,0.15044350655980138,5.6701793201976
Lake Killarney,zooplankton,0.9207767238695448,5.6701793201976
Angle Lake,phytoplankton,0.9363049170086906,5.786940540139166
Angle Lake,phytoplankton,0.9511639468572352,5.786940540139166
Angle Lake,phytoplankton,0.7996717516469513,5.786940540139166
Lake Killarney,phytoplankton,0.9661012197940154,5.118806892695759
Lake Killarney,phytoplankton,0.980001055951144,5.118806892695759
Lake Killarney,phytoplankton,0.9863502160050942,5.118806892695759
Angle Lake,pumpkinseed (Lepomis gibbosus),0.2629277591014871,10.465253124250575
Angle Lake,pumpkinseed (Lepomis gibbosus),0.1809962662364951,10.376582289121002
Angle Lake,pumpkinseed (Lepomis gibbosus),0.1386993712826839,9.595597340929777
Lake Killarney,bluegill (Lepomis macrochirus),0.03954367814793677,10.082400929751309
Lake Killarney,bluegill (Lepomis macrochirus),0.06768606110355016,9.196919016520747
Lake Killarney,bluegill (Lepomis macrochirus),0.11226294123716912,9.489555040980804
Angle Lake,Chinese mystery,0.7117310482878548,6.113185605153432
Angle Lake,Chinese mystery,0.29667037739720087,6.161532502098198
Angle Lake,Chinese mystery,0.3291091745649044,5.124278048605805
Lake Killarney,Chinese mystery,0.6292378427066553,5.297635659118041
Lake Killarney,Chinese mystery,0.8737939678513073,5.4955742302011465
Lake Killarney,Chinese mystery,0.8484130959564112,4.917109414851235
Angle Lake,chironomid,0.933140017042752,8.203249119485468
Angle Lake,chironomid,0.960257556624507,8.57299298263376
Angle Lake,chironomid,0.9314098860032883,7.561062409806853
Lake Killarney,chironomid,0.9774198794157476,3.922004388294705
Lake Killarney,chironomid,0.9701610636696972,4.8560941478272355
Lake Killarney,chironomid,0.9823423553186449,5.089616587710367
Angle Lake,macrophyte,0.8438936518680376,2.316537614098169
Angle Lake,macrophyte,0.8549783901828372,2.997644730423972
Angle Lake,macrophyte,0.7470046044383026,-0.13544800467472246
Lake Killarney,macrophyte,0.7098162474400598,1.3435274479184502
Lake Killarney,macrophyte,0.8640978531426114,1.0321641947409401
Lake Killarney,macrophyte,0.6760223101170378,2.8322330021734197
Angle Lake,periphyton (surface),0.9834901770312434,2.6181707656138817
Angle Lake,periphyton (surface),0.9836332828153896,2.9392641204531893
Angle Lake,periphyton (surface),0.9842977082931702,3.1630564586745242
Lake Killarney,periphyton (surface),0.9919382903932223,3.912274286632908
Lake Killarney,periphyton (surface),0.9932050884554516,3.0657554420565525
Lake Killarney,periphyton (surface),0.9931457966272746,4.622571707944102
